TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0049A 200910,A0067885B3 171958 S0049A 200910,16.548,16.563,16.552,16.511,16.513,16.537,16.526,16.534,16.548,24.866,24.863,24.861,24.873,24.88,24.873,24.867,24.867,24.863,0,4.169
A0067885B3 171958 T0050A 200910,A0067885B3 171958 S0050A 200910,16.547,16.564,16.563,16.524,16.514,16.53,16.543,16.529,16.54,24.864,24.866,24.857,24.873,24.875,24.869,24.863,24.863,24.862,7,4.186
A0067885B3 171958 T0051A 200910,A0067885B3 171958 S0051A 200910,16.536,16.576,16.52,16.534,16.503,16.534,16.551,16.515,16.552,24.869,24.869,24.86,24.875,24.881,24.874,24.868,24.865,24.863,7,4.186
A0067885B3 171958 T0052A 200910,A0067885B3 171958 S0052A 200910,16.534,16.554,16.543,16.541,16.494,16.538,16.564,16.502,16.55,24.864,24.863,24.859,24.869,24.873,24.869,24.862,24.863,24.86,2,4.175
A0067885B3 171958 T0053A 200910,A0067885B3 171958 S0053A 200910,16.541,16.54,16.527,16.529,16.475,16.511,16.552,16.489,16.531,24.865,24.863,24.858,24.87,24.874,24.866,24.861,24.863,24.853,0,4.169
A0067885B3 171958 T0054A 200910,A0067885B3 171958 S0054A 200910,16.543,16.562,16.512,16.548,16.481,16.526,16.547,16.514,16.547,24.865,24.863,24.857,24.868,24.872,24.864,24.863,24.862,24.857,7,4.186
A0067885B3 171958 T0055A 200910,A0067885B3 171958 S0055A 200910,16.544,16.541,16.539,16.527,16.475,16.517,16.533,16.498,16.532,24.866,24.864,24.859,24.871,24.876,24.866,24.863,24.862,24.859,7,4.186
A0067885B3 171958 T0056A 200910,A0067885B3 171958 S0056A 200910,16.536,16.563,16.513,16.548,16.488,16.501,16.56,16.496,16.529,24.857,24.852,24.847,24.863,24.863,24.859,24.853,24.852,24.85,1,4.172
A0067885B3 171958 T0057A 200910,A0067885B3 171958 S0057A 200910,16.536,16.57,16.519,16.526,16.516,16.524,16.542,16.53,16.544,24.857,24.854,24.85,24.861,24.868,24.859,24.855,24.863,24.854,0,4.169
A0067885B3 171958 T0058A 200910,A0067885B3 171958 S0058A 200910,16.548,16.556,16.536,16.549,16.514,16.51,16.57,16.521,16.525,24.868,24.864,24.86,24.87,24.873,24.868,24.862,24.86,24.86,7,4.186
A0067885B3 171958 T0059A 200910,A0067885B3 171958 S0059A 200910,16.522,16.568,16.513,16.51,16.506,16.503,16.532,16.515,16.519,24.866,24.867,24.859,24.873,24.879,24.873,24.866,24.87,24.86,7,4.186
A0067885B3 171958 T0060A 200910,A0067885B3 171958 S0060A 200910,16.533,16.561,16.543,16.533,16.489,16.538,16.543,16.511,16.565,24.863,24.86,24.857,24.867,24.872,24.868,24.857,24.861,24.857,2,4.175
A0067885B3 171958 T0061A 200910,A0067885B3 171958 S0061A 200910,16.531,16.551,16.546,16.497,16.502,16.541,16.52,16.497,16.562,24.864,24.863,24.856,24.869,24.874,24.867,24.862,24.862,24.858,0,4.169
A0067885B3 171958 T0062A 200910,A0067885B3 171958 S0062A 200910,16.517,16.536,16.539,16.477,16.453,16.501,16.499,16.477,16.518,24.86,24.857,24.851,24.864,24.866,24.861,24.854,24.854,24.852,7,4.186
A0067885B3 171958 T0063A 200910,A0067885B3 171958 S0063A 200910,16.526,16.552,16.524,16.519,16.481,16.52,16.541,16.497,16.538,24.862,24.858,24.856,24.866,24.865,24.865,24.859,24.855,24.855,7,4.186
A0067885B3 171958 T0064A 200910,A0067885B3 171958 S0064A 200910,16.53,16.552,16.52,16.52,16.491,16.511,16.538,16.508,16.525,24.865,24.863,24.858,24.872,24.875,24.871,24.865,24.864,24.863,2,4.175
A0067885B3 171958 T0065A 200910,A0067885B3 171958 S0065A 200910,16.548,16.569,16.54,16.522,16.517,16.538,16.543,16.539,16.545,24.861,24.86,24.855,24.869,24.874,24.866,24.862,24.864,24.858,0,4.169
A0067885B3 171958 T0066A 200910,A0067885B3 171958 S0066A 200910,16.546,16.548,16.549,16.534,16.504,16.516,16.548,16.509,16.543,24.862,24.859,24.853,24.867,24.87,24.866,24.862,24.861,24.857,10,4.192
