TubeNo,ShaftNo,TB1,TB2,TB3,TC1,TC2,TC3,TD1,TD2,TD3,SA1,SA2,SA3,SB1,SB2,SB3,SC1,SC2,SC3,BallGrade,BallSize
A0067885B3 171958 T0237A 200910,A0067885B3 171958 S0237A 200910,16.552,16.574,16.554,16.538,16.534,16.537,16.562,16.528,16.573,24.863,24.864,24.857,24.87,24.873,24.869,24.864,24.862,24.857,2,4.175
A0067885B3 171958 T0238A 200910,A0067885B3 171958 S0238A 200910,16.529,16.569,16.522,16.519,16.52,16.51,16.561,16.526,16.519,24.856,24.851,24.852,24.864,24.865,24.864,24.866,24.854,24.852,7,4.186
A0067885B3 171958 T0239A 200910,A0067885B3 171958 S0239A 200910,16.546,16.567,16.525,16.541,16.493,16.492,16.557,16.509,16.513,24.861,24.856,24.855,24.87,24.871,24.866,24.868,24.859,24.854,7,4.186
A0067885B3 171958 T0240A 200910,A0067885B3 171958 S0240A 200910,16.536,16.569,16.557,16.519,16.525,16.551,16.547,16.545,16.544,24.862,24.856,24.855,24.87,24.872,24.869,24.866,24.859,24.858,2,4.175
A0067885B3 171958 T0241A 200910,A0067885B3 171958 S0241A 200910,16.556,16.553,16.537,16.553,16.472,16.52,16.57,16.493,16.542,24.854,24.849,24.845,24.862,24.864,24.86,24.855,24.854,24.85,2,4.175
A0067885B3 171958 T0242A 200910,A0067885B3 171958 S0242A 200910,16.532,16.577,16.548,16.51,16.552,16.526,16.539,16.558,16.539,24.853,24.854,24.848,24.862,24.866,24.861,24.857,24.851,24.847,7,4.186
A0067885B3 171958 T0243A 200910,A0067885B3 171958 S0243A 200910,16.547,16.565,16.56,16.531,16.53,16.559,16.561,16.542,16.566,24.866,24.862,24.858,24.872,24.877,24.874,24.875,24.867,24.863,2,4.175
A0067885B3 171958 T0244A 200910,A0067885B3 171958 S0244A 200910,16.547,16.565,16.553,16.536,16.522,16.539,16.559,16.546,16.545,24.859,24.858,24.854,24.868,24.873,24.868,24.858,24.86,24.859,2,4.175
A0067885B3 171958 T0245A 200910,A0067885B3 171958 S0245A 200910,16.546,16.567,16.541,16.527,16.507,16.541,16.556,16.522,16.547,24.857,24.854,24.85,24.865,24.868,24.865,24.855,24.858,24.851,7,4.186
A0067885B3 171958 T0246A 200910,A0067885B3 171958 S0246A 200910,16.527,16.559,16.541,16.504,16.503,16.523,16.538,16.507,16.536,24.854,24.848,24.848,24.865,24.868,24.862,24.856,24.887,24.848,2,4.175
A0067885B3 171958 T0247A 200910,A0067885B3 171958 S0247A 200910,16.537,16.55,16.537,16.515,16.511,16.505,16.539,16.504,16.541,24.861,24.861,24.855,24.869,24.87,24.87,24.867,24.856,24.854,7,4.186
A0067885B3 171958 T0248A 200910,A0067885B3 171958 S0248A 200910,16.569,16.55,16.561,16.578,16.501,16.557,16.586,16.539,16.566,24.851,24.847,24.854,24.861,24.867,24.866,24.851,24.863,24.851,7,4.186
A0067885B3 171958 T0249A 200910,A0067885B3 171958 S0249A 200910,16.539,16.552,16.554,16.526,16.484,16.55,16.546,16.494,16.567,24.86,24.857,24.854,24.867,24.87,24.864,24.862,24.864,24.859,1,4.172
A0067885B3 171958 T0250A 200910,A0067885B3 171958 S0250A 200910,16.547,16.562,16.556,16.541,16.513,16.532,16.561,16.53,16.545,24.851,24.851,24.852,24.858,24.863,24.866,24.849,24.848,24.852,2,4.175
A0067885B3 171958 T0251A 200910,A0067885B3 171958 S0251A 200910,16.545,16.58,16.543,16.524,16.517,16.543,16.55,16.52,16.568,24.861,24.858,24.853,24.864,24.867,24.86,24.849,24.848,24.843,2,4.175
A0067885B3 171958 T0252A 200910,A0067885B3 171958 S0252A 200910,16.55,16.559,16.542,16.539,16.522,16.534,16.555,16.539,16.555,24.857,24.855,24.853,24.87,24.873,24.865,24.855,24.859,24.852,2,4.175
A0067885B3 171958 T0253A 200910,A0067885B3 171958 S0253A 200910,16.561,16.577,16.527,16.551,16.569,16.489,16.562,16.569,16.532,24.862,24.858,24.856,24.869,24.876,24.87,24.865,24.866,24.86,2,4.175
A0067885B3 171958 T0254A 200910,A0067885B3 171958 S0254A 200910,16.55,16.571,16.536,16.551,16.528,16.507,16.568,16.542,16.532,24.857,24.854,24.853,24.864,24.868,24.868,24.848,24.854,24.847,2,4.175
A0067885B3 171958 T0255A 200910,A0067885B3 171958 S0255A 200910,16.543,16.536,16.529,16.512,16.492,16.492,16.528,16.506,16.524,24.866,24.86,24.859,24.875,24.876,24.873,24.863,24.863,24.859,7,4.186
A0067885B3 171958 T0256A 200910,A0067885B3 171958 S0256A 200910,16.535,16.584,16.513,16.519,16.526,16.499,16.547,16.527,16.523,24.867,24.864,24.858,24.872,24.876,24.874,24.863,24.862,24.862,2,4.175
A0067885B3 171958 T0257A 200910,A0067885B3 171958 S0257A 200910,16.556,16.565,16.536,16.543,16.527,16.507,16.555,16.541,16.537,24.859,24.856,24.855,24.867,24.871,24.865,24.852,24.851,24.849,2,4.175
A0067885B3 171958 T0258A 200910,A0067885B3 171958 S0258A 200910,16.53,16.59,16.543,16.524,16.541,16.539,16.546,16.537,16.568,24.854,24.853,24.848,24.862,24.865,24.86,24.849,24.852,24.846,7,4.186
A0067885B3 171958 T0259A 200910,A0067885B3 171958 S0259A 200910,16.551,16.57,16.553,16.542,16.51,16.542,16.556,16.53,16.559,24.868,24.865,24.861,24.878,24.881,24.876,24.868,24.868,24.862,0,4.169
A0067885B3 171958 T0260A 200910,A0067885B3 171958 S0260A 200910,16.532,16.558,16.545,16.496,16.505,16.541,16.53,16.513,16.551,24.862,24.861,24.858,24.871,24.876,24.871,24.861,24.865,24.86,2,4.175
A0067885B3 171958 T0261A 200910,A0067885B3 171958 S0261A 200910,16.553,16.581,16.553,16.534,16.572,16.549,16.555,16.527,16.545,24.862,24.863,24.859,24.868,24.874,24.87,24.863,24.862,24.857,7,4.186
A0067885B3 171958 T0262A 200910,A0067885B3 171958 S0262A 200910,16.53,16.569,16.547,16.511,16.537,16.538,16.549,16.535,16.563,24.865,24.859,24.856,24.872,24.875,24.87,24.864,24.858,24.858,1,4.172
A0067885B3 171958 T0263A 200910,A0067885B3 171958 S0263A 200910,16.539,16.57,16.532,16.532,16.508,16.502,16.547,16.522,16.528,24.862,24.862,24.859,24.873,24.878,24.875,24.863,24.863,24.863,2,4.175
A0067885B3 171958 T0264A 200910,A0067885B3 171958 S0264A 200910,16.545,16.552,16.554,16.534,16.5,16.508,16.549,16.525,16.528,24.858,24.855,24.853,24.865,24.869,24.865,24.857,24.857,24.853,7,4.186
A0067885B3 171958 T0265A 200910,A0067885B3 171958 S0265A 200910,16.548,16.562,16.555,16.562,16.515,16.553,16.568,16.545,16.568,24.857,24.858,24.851,24.864,24.868,24.864,24.854,24.856,24.851,0,4.169
A0067885B3 171958 T0266A 200910,A0067885B3 171958 S0266A 200910,16.554,16.56,16.549,16.534,16.539,16.531,16.546,16.558,16.55,24.86,24.86,24.856,24.866,24.871,24.867,24.859,24.861,24.86,1,4.172
A0067885B3 171958 T0267A 200910,A0067885B3 171958 S0267A 200910,16.549,16.549,16.556,16.528,16.522,16.523,16.55,16.536,16.54,24.851,24.847,24.844,24.86,24.863,24.859,24.848,24.847,24.844,2,4.175
A0067885B3 171958 T0268A 200910,A0067885B3 171958 S0268A 200910,16.566,16.551,16.531,16.569,16.501,16.525,16.565,16.52,16.563,24.859,24.855,24.851,24.867,24.866,24.866,24.851,24.857,24.85,2,4.175
A0067885B3 171958 T0269A 200910,A0067885B3 171958 S0269A 200910,16.56,16.571,16.548,16.546,16.528,16.535,16.568,16.54,16.549,24.85,24.847,24.845,24.858,24.86,24.858,24.848,24.848,24.843,1,4.172
A0067885B3 171958 T0270A 200910,A0067885B3 171958 S0270A 200910,16.523,16.53,16.54,16.497,16.477,16.498,16.521,16.483,16.526,24.859,24.856,24.855,24.869,24.873,24.869,24.86,24.861,24.855,7,4.186
A0067885B3 171958 T0271A 200910,A0067885B3 171958 S0271A 200910,16.529,16.56,16.534,16.504,16.52,16.497,16.523,16.546,16.513,24.863,24.862,24.859,24.875,24.878,24.874,24.865,24.862,24.859,2,4.175
A0067885B3 171958 T0272A 200910,A0067885B3 171958 S0272A 200910,16.535,16.554,16.547,16.523,16.508,16.542,16.537,16.508,16.576,24.863,24.861,24.856,24.874,24.877,24.872,24.862,24.863,24.861,0,4.169
A0067885B3 171958 T0273A 200910,A0067885B3 171958 S0273A 200910,16.532,16.572,16.548,16.528,16.499,16.549,16.553,16.506,16.563,24.851,24.848,24.845,24.86,24.862,24.859,24.847,24.849,24.846,7,4.186
A0067885B3 171958 T0274A 200910,A0067885B3 171958 S0274A 200910,16.561,16.554,16.535,16.551,16.5,16.539,16.575,16.511,16.553,24.848,24.846,24.843,24.859,24.864,24.86,24.851,24.871,24.846,2,4.175
A0067885B3 171958 T0275A 200910,A0067885B3 171958 S0275A 200910,16.552,16.583,16.562,16.553,16.551,16.577,16.565,16.561,16.566,24.866,24.867,24.859,24.872,24.881,24.872,24.865,24.864,24.858,7,4.186
A0067885B3 171958 T0276A 200910,A0067885B3 171958 S0276A 200910,16.539,16.551,16.55,16.531,16.507,16.525,16.546,16.529,16.548,24.863,24.86,24.858,24.871,24.875,24.871,24.86,24.861,24.859,7,4.186
A0067885B3 171958 T0277A 200910,A0067885B3 171958 S0277A 200910,16.529,16.581,16.537,16.507,16.517,16.53,16.543,16.519,16.547,24.859,24.857,24.851,24.869,24.871,24.868,24.853,24.869,24.849,2,4.175
A0067885B3 171958 T0278A 200910,A0067885B3 171958 S0278A 200910,16.506,16.577,16.547,16.461,16.481,16.525,16.499,16.502,16.505,24.849,24.847,24.844,24.86,24.864,24.859,24.853,24.849,24.842,0,4.169
A0067885B3 171958 T0279A 200910,A0067885B3 171958 S0279A 200910,16.55,16.57,16.535,16.526,16.525,16.515,16.545,16.532,16.538,24.863,24.861,24.86,24.874,24.878,24.873,24.865,24.868,24.862,7,4.186
A0067885B3 171958 T0280A 200910,A0067885B3 171958 S0280A 200910,16.555,16.579,16.559,16.561,16.514,16.555,16.571,16.534,16.572,24.866,24.866,24.863,24.873,24.881,24.876,24.861,24.866,24.86,1,4.172
A0067885B3 171958 T0281A 200910,A0067885B3 171958 S0281A 200910,16.534,16.562,16.53,16.528,16.524,16.535,16.542,16.546,16.549,24.867,24.862,24.859,24.875,24.88,24.876,24.865,24.867,24.86,7,4.186
A0067885B3 171958 T0282A 200910,A0067885B3 171958 S0282A 200910,16.554,16.568,16.541,16.566,16.51,16.556,16.582,16.525,16.569,24.853,24.859,24.852,24.863,24.868,24.863,24.851,24.85,24.846,2,4.175
A0067885B3 171958 T0283A 200910,A0067885B3 171958 S0283A 200910,16.528,16.588,16.532,16.516,16.553,16.529,16.537,16.554,16.565,24.862,24.862,24.857,24.874,24.875,24.872,24.86,24.862,24.86,2,4.175
A0067885B3 171958 T0284A 200910,A0067885B3 171958 S0284A 200910,16.545,16.568,16.527,16.536,16.514,16.527,16.546,16.505,16.573,24.85,24.852,24.844,24.857,24.863,24.86,24.846,24.849,24.847,7,4.186
A0067885B3 171958 T0285A 200910,A0067885B3 171958 S0285A 200910,16.525,16.588,16.524,16.514,16.549,16.503,16.508,16.536,16.543,24.851,24.852,24.85,24.863,24.868,24.863,24.856,24.86,24.854,2,4.175
A0067885B3 171958 T0286A 200910,A0067885B3 171958 S0286A 200910,16.528,16.56,16.529,16.516,16.527,16.503,16.545,16.531,16.527,24.863,24.859,24.856,24.871,24.872,24.871,24.859,24.86,24.858,2,4.175
A0067885B3 171958 T0287A 200910,A0067885B3 171958 S0287A 200910,16.555,16.575,16.547,16.558,16.533,16.523,16.572,16.539,16.55,24.867,24.865,24.861,24.877,24.88,24.874,24.87,24.865,24.861,7,4.186
A0067885B3 171958 T0288A 200910,A0067885B3 171958 S0288A 200910,16.537,16.531,16.529,16.494,16.464,16.469,16.516,16.457,16.516,24.866,24.864,24.862,24.875,24.878,24.878,24.865,24.868,24.862,2,4.175
A0067885B3 171958 T0289A 200910,A0067885B3 171958 S0289A 200910,16.554,16.581,16.561,16.567,16.525,16.576,16.59,16.535,16.585,24.864,24.865,24.859,24.872,24.88,24.874,24.866,24.866,24.859,1,4.172
A0067885B3 171958 T0290A 200910,A0067885B3 171958 S0290A 200910,16.539,16.556,16.522,16.526,16.503,16.518,16.543,16.519,16.536,24.857,24.861,24.853,24.861,24.869,24.862,24.854,24.866,24.848,7,4.186
A0067885B3 171958 T0291A 200910,A0067885B3 171958 S0291A 200910,16.541,16.57,16.527,16.531,16.506,16.498,16.559,16.511,16.528,24.86,24.857,24.856,24.868,24.871,24.869,24.859,24.859,24.852,0,4.169
A0067885B3 171958 T0292A 200910,A0067885B3 171958 S0292A 200910,16.537,16.558,16.551,16.534,16.526,16.543,16.553,16.552,16.547,24.854,24.848,24.848,24.857,24.861,24.859,24.85,24.851,24.842,2,4.175
A0067885B3 171958 T0293A 200910,A0067885B3 171958 S0293A 200910,16.542,16.561,16.551,16.533,16.507,16.532,16.538,16.526,16.546,24.869,24.865,24.86,24.876,24.878,24.872,24.865,24.865,24.861,7,4.186
A0067885B3 171958 T0294A 200910,A0067885B3 171958 S0294A 200910,16.543,16.547,16.555,16.517,16.5,16.527,16.544,16.496,16.557,24.861,24.855,24.851,24.867,24.871,24.871,24.855,24.856,24.852,0,4.169
A0067885B3 171958 T0295A 200910,A0067885B3 171958 S0295A 200910,16.533,16.554,16.531,16.485,16.472,16.5,16.517,16.468,16.526,24.867,24.867,24.861,24.873,24.88,24.874,24.862,24.866,24.859,2,4.175
A0067885B3 171958 T0296A 200910,A0067885B3 171958 S0296A 200910,16.544,16.559,16.527,16.518,16.478,16.498,16.554,16.473,16.523,24.851,24.848,24.846,24.86,24.865,24.862,24.847,24.85,24.847,7,4.186
A0067885B3 171958 T0297A 200910,A0067885B3 171958 S0297A 200910,16.531,16.563,16.537,16.501,16.502,16.506,16.526,16.495,16.535,24.864,24.86,24.859,24.871,24.875,24.872,24.86,24.861,24.857,0,4.169
A0067885B3 171958 T0298A 200910,A0067885B3 171958 S0298A 200910,16.55,16.575,16.541,16.557,16.517,16.54,16.569,16.539,16.556,24.856,24.853,24.853,24.865,24.871,24.866,24.852,24.856,24.851,0,4.169
A0067885B3 171958 T0299A 200910,A0067885B3 171958 S0299A 200910,16.546,16.568,16.525,16.528,16.508,16.504,16.537,16.519,16.532,24.864,24.864,24.86,24.874,24.877,24.875,24.866,24.867,24.862,7,4.186
A0067885B3 171958 T0300A 200910,A0067885B3 171958 S0300A 200910,16.529,16.571,16.544,16.529,16.527,16.548,16.546,16.534,16.57,24.862,24.855,24.851,24.862,24.866,24.862,24.852,24.853,24.848,1,4.172
A0067885B3 171958 T0301A 200910,A0067885B3 171958 S0301A 200910,16.534,16.559,16.535,16.483,16.477,16.486,16.505,16.487,16.518,24.859,24.86,24.857,24.873,24.879,24.873,24.862,24.863,24.86,2,4.175
A0067885B3 171958 T0302A 200910,A0067885B3 171958 S0302A 200910,16.567,16.559,16.565,16.557,16.502,16.574,16.568,16.529,16.586,24.867,24.866,24.861,24.877,24.882,24.876,24.866,24.868,24.865,7,4.186
A0067885B3 171958 T0303A 200910,A0067885B3 171958 S0303A 200910,16.549,16.562,16.547,16.543,16.528,16.53,16.547,16.535,16.57,24.862,24.859,24.856,24.87,24.872,24.87,24.859,24.859,24.857,0,4.169
A0067885B3 171958 T0304A 200910,A0067885B3 171958 S0304A 200910,16.535,16.588,16.549,16.539,16.527,16.557,16.556,16.548,16.568,24.863,24.862,24.856,24.871,24.878,24.868,24.862,24.862,24.858,1,4.172
A0067885B3 171958 T0305A 200910,A0067885B3 171958 S0305A 200910,16.546,16.557,16.552,16.508,16.572,16.545,16.546,16.563,16.556,24.863,24.861,24.856,24.87,24.874,24.871,24.859,24.859,24.856,7,4.186
A0067885B3 171958 T0306A 200910,A0067885B3 171958 S0306A 200910,16.574,16.549,16.551,16.534,16.478,16.543,16.544,16.498,16.565,24.868,24.865,24.861,24.879,24.882,24.877,24.868,24.872,24.863,2,4.175
A0067885B3 171958 T0307A 200910,A0067885B3 171958 S0307A 200910,16.569,16.573,16.55,16.555,16.561,16.519,16.569,16.566,16.545,24.861,24.857,24.855,24.871,24.875,24.872,24.864,24.864,24.86,1,4.172
A0067885B3 171958 T0308A 200910,A0067885B3 171958 S0308A 200910,16.542,16.563,16.509,16.533,16.48,16.535,16.545,16.504,16.557,24.861,24.856,24.852,24.872,24.872,24.869,24.856,24.858,24.854,7,4.186
A0067885B3 171958 T0309A 200910,A0067885B3 171958 S0309A 200910,16.531,16.569,16.513,16.51,16.489,16.512,16.531,16.509,16.535,24.859,24.858,24.853,24.868,24.873,24.867,24.856,24.861,24.853,2,4.175
A0067885B3 171958 T0310A 200910,A0067885B3 171958 S0310A 200910,16.528,16.559,16.538,16.508,16.498,16.514,16.533,16.511,16.53,24.857,24.853,24.851,24.867,24.869,24.862,24.853,24.856,24.851,2,4.175
A0067885B3 171958 T0311A 200910,A0067885B3 171958 S0311A 200910,16.531,16.576,16.511,16.527,16.537,16.469,16.536,16.544,16.513,24.857,24.859,24.854,24.867,24.87,24.864,24.853,24.884,24.851,7,4.186
A0067885B3 171958 T0312A 200910,A0067885B3 171958 S0312A 200910,16.548,16.575,16.536,16.542,16.53,16.527,16.556,16.532,16.558,24.864,24.863,24.859,24.872,24.876,24.872,24.86,24.861,24.86,7,4.186
A0067885B3 171958 T0313A 200910,A0067885B3 171958 S0313A 200910,16.551,16.563,16.564,16.542,16.536,16.541,16.562,16.554,16.555,24.863,24.862,24.856,24.87,24.876,24.872,24.859,24.86,24.858,2,4.175
A0067885B3 171958 T0314A 200910,A0067885B3 171958 S0314A 200910,16.537,16.56,16.555,16.534,16.52,16.531,16.579,16.519,16.55,24.855,24.853,24.85,24.858,24.863,24.862,24.847,24.849,24.847,7,4.186
A0067885B3 171958 T0315A 200910,A0067885B3 171958 S0315A 200910,16.531,16.563,16.529,16.523,16.491,16.518,16.54,16.496,16.554,24.866,24.863,24.864,24.877,24.88,24.877,24.866,24.866,24.865,7,4.186
A0067885B3 171958 T0316A 200910,A0067885B3 171958 S0316A 200910,16.561,16.576,16.55,16.558,16.524,16.553,16.573,16.538,16.576,24.859,24.857,24.854,24.869,24.873,24.869,24.86,24.859,24.857,1,4.172
A0067885B3 171958 T0317A 200910,A0067885B3 171958 S0317A 200910,16.56,16.541,16.556,16.547,16.481,16.552,16.558,16.503,16.567,24.86,24.859,24.854,24.869,24.876,24.871,24.859,24.863,24.859,7,4.186
A0067885B3 171958 T0318A 200910,A0067885B3 171958 S0318A 200910,16.54,16.577,16.559,16.562,16.534,16.56,16.573,16.562,16.573,24.863,24.862,24.86,24.871,24.876,24.873,24.86,24.862,24.86,7,4.186
A0067885B3 171958 T0319A 200910,A0067885B3 171958 S0319A 200910,16.546,16.557,16.517,16.524,16.548,16.505,16.569,16.532,16.544,24.868,24.864,24.858,24.879,24.879,24.874,24.866,24.864,24.864,2,4.175
A0067885B3 171958 T0320A 200910,A0067885B3 171958 S0320A 200910,16.545,16.574,16.541,16.543,16.515,16.529,16.557,16.518,16.553,24.864,24.862,24.858,24.874,24.879,24.874,24.862,24.865,24.862,10,4.192
A0067885B3 171958 T0321A 200910,A0067885B3 171958 S0321A 200910,16.542,16.569,16.562,16.525,16.513,16.55,16.564,16.515,16.558,24.865,24.86,24.857,24.87,24.876,24.874,24.864,24.864,24.857,7,4.186
A0067885B3 171958 T0322A 200910,A0067885B3 171958 S0322A 200910,16.565,16.585,16.543,16.528,16.557,16.527,16.537,16.583,16.539,24.869,24.866,24.861,24.877,24.882,24.879,24.864,24.868,24.865,2,4.175
A0067885B3 171958 T0323A 200910,A0067885B3 171958 S0323A 200910,16.548,16.577,16.555,16.564,16.556,16.556,16.595,16.561,16.583,24.866,24.864,24.858,24.871,24.879,24.87,24.864,24.865,24.859,7,4.186
A0067885B3 171958 T0324A 200910,A0067885B3 171958 S0324A 200910,16.548,16.57,16.551,16.557,16.519,16.531,16.583,16.539,16.533,24.861,24.859,24.856,24.871,24.877,24.87,24.861,24.863,24.861,2,4.175
A0067885B3 171958 T0325A 200910,A0067885B3 171958 S0325A 200910,16.547,16.59,16.554,16.554,16.573,16.554,16.586,16.565,16.58,24.865,24.862,24.861,24.875,24.877,24.873,24.862,24.866,24.862,2,4.175
A0067885B3 171958 T0326A 200910,A0067885B3 171958 S0326A 200910,16.538,16.59,16.548,16.515,16.572,16.52,16.539,16.576,16.546,24.864,24.862,24.857,24.875,24.876,24.874,24.863,24.862,24.861,7,4.186
A0067885B3 171958 T0327A 200910,A0067885B3 171958 S0327A 200910,16.543,16.564,16.555,16.528,16.539,16.547,16.565,16.548,16.551,24.859,24.857,24.856,24.87,24.871,24.868,24.861,24.86,24.858,2,4.175
A0067885B3 171958 T0328A 200910,A0067885B3 171958 S0328A 200910,16.567,16.551,16.548,16.578,16.481,16.538,16.585,16.499,16.565,24.864,24.863,24.861,24.871,24.875,24.871,24.859,24.861,24.858,2,4.175
A0067885B3 171958 T0329A 200910,A0067885B3 171958 S0329A 200910,16.564,16.554,16.551,16.539,16.525,16.527,16.548,16.561,16.536,24.864,24.864,24.86,24.872,24.878,24.873,24.861,24.864,24.86,7,4.186
A0067885B3 171958 T0330A 200910,A0067885B3 171958 S0330A 200910,16.529,16.564,16.538,16.513,16.509,16.523,16.532,16.51,16.55,24.861,24.859,24.857,24.87,24.874,24.87,24.861,24.862,24.856,1,4.172
A0067885B3 171958 T0331A 200910,A0067885B3 171958 S0331A 200910,16.542,16.561,16.54,16.503,16.512,16.521,16.521,16.531,16.529,24.864,24.862,24.858,24.873,24.877,24.873,24.862,24.865,24.861,2,4.175
A0067885B3 171958 T0332A 200910,A0067885B3 171958 S0332A 200910,16.563,16.588,16.536,16.57,16.518,16.543,16.579,16.546,16.551,24.86,24.857,24.855,24.867,24.868,24.867,24.855,24.856,24.852,0,4.169
A0067885B3 171958 T0333A 200910,A0067885B3 171958 S0333A 200910,16.525,16.583,16.538,16.528,16.525,16.536,16.552,16.529,16.559,24.862,24.859,24.856,24.87,24.875,24.87,24.86,24.862,24.856,2,4.175
A0067885B3 171958 T0334A 200910,A0067885B3 171958 S0334A 200910,16.56,16.566,16.551,16.546,16.539,16.536,16.564,16.556,16.555,24.859,24.854,24.851,24.862,24.867,24.862,24.856,24.853,24.851,7,4.186
A0067885B3 171958 T0335A 200910,A0067885B3 171958 S0335A 200910,16.536,16.59,16.531,16.519,16.546,16.519,16.539,16.547,16.539,24.862,24.862,24.858,24.872,24.875,24.872,24.862,24.863,24.856,2,4.175
A0067885B3 171958 T0336A 200910,A0067885B3 171958 S0336A 200910,16.533,16.58,16.56,16.548,16.552,16.543,16.572,16.554,16.561,24.863,24.861,24.858,24.87,24.875,24.871,24.86,24.863,24.859,2,4.175
A0067885B3 171958 T0337A 200910,A0067885B3 171958 S0337A 200910,16.554,16.53,16.539,16.531,16.46,16.537,16.549,16.474,16.563,24.866,24.863,24.863,24.873,24.878,24.872,24.864,24.864,24.86,7,4.186
A0067885B3 171958 T0338A 200910,A0067885B3 171958 S0338A 200910,16.556,16.572,16.549,16.542,16.545,16.554,16.563,16.554,16.582,24.865,24.863,24.861,24.874,24.877,24.873,24.864,24.864,24.859,0,4.169
A0067885B3 171958 T0339A 200910,A0067885B3 171958 S0339A 200910,16.547,16.586,16.515,16.541,16.536,16.487,16.564,16.533,16.519,24.863,24.863,24.857,24.873,24.877,24.871,24.863,24.864,24.858,1,4.172
A0067885B3 171958 T0340A 200910,A0067885B3 171958 S0340A 200910,16.566,16.576,16.549,16.585,16.546,16.54,16.576,16.532,16.55,24.862,24.861,24.86,24.868,24.873,24.867,24.855,24.858,24.855,10,4.192
A0067885B3 171958 T0341A 200910,A0067885B3 171958 S0341A 200910,16.548,16.569,16.552,16.528,16.539,16.537,16.556,16.539,16.559,24.856,24.856,24.853,24.867,24.873,24.867,24.855,24.857,24.853,0,4.169
A0067885B3 171958 T0342A 200910,A0067885B3 171958 S0342A 200910,16.531,16.56,16.542,16.53,16.492,16.555,16.549,16.506,16.573,24.861,24.862,24.859,24.873,24.874,24.875,24.861,24.865,24.861,2,4.175
A0067885B3 171958 T0343A 200910,A0067885B3 171958 S0343A 200910,16.545,16.538,16.52,16.551,16.498,16.522,16.56,16.527,16.536,24.863,24.861,24.854,24.869,24.875,24.869,24.86,24.868,24.854,10,4.192
A0067885B3 171958 T0344A 200910,A0067885B3 171958 S0344A 200910,16.548,16.555,16.554,16.543,16.512,16.538,16.559,16.523,16.557,24.867,24.862,24.861,24.87,24.876,24.875,24.861,24.863,24.862,1,4.172
A0067885B3 171958 T0345A 200910,A0067885B3 171958 S0345A 200910,16.546,16.551,16.552,16.523,16.503,16.524,16.537,16.517,16.551,24.86,24.858,24.855,24.869,24.873,24.872,24.861,24.863,24.858,2,4.175
A0067885B3 171958 T0346A 200910,A0067885B3 171958 S0346A 200910,16.545,16.572,16.536,16.546,16.507,16.521,16.545,16.535,16.535,24.859,24.853,24.847,24.866,24.866,24.86,24.85,24.853,24.845,10,4.192
A0067885B3 171958 T0347A 200910,A0067885B3 171958 S0347A 200910,16.505,16.572,16.539,16.5,16.525,16.542,16.543,16.528,16.549,24.866,24.867,24.862,24.88,24.883,24.877,24.867,24.87,24.862,0,4.169
A0067885B3 171958 T0348A 200910,A0067885B3 171958 S0348A 200910,16.549,16.563,16.538,16.552,16.51,16.523,16.557,16.529,16.554,24.863,24.863,24.856,24.871,24.878,24.871,24.862,24.866,24.859,2,4.175
A0067885B3 171958 T0349A 200910,A0067885B3 171958 S0349A 200910,16.545,16.581,16.518,16.53,16.5,16.503,16.56,16.497,16.538,24.865,24.861,24.858,24.872,24.876,24.872,24.855,24.859,24.855,10,4.192
A0067885B3 171958 T0350A 200910,A0067885B3 171958 S0350A 200910,16.542,16.572,16.565,16.56,16.55,16.542,16.57,16.57,16.563,24.856,24.855,24.846,24.866,24.871,24.864,24.856,24.858,24.854,0,4.169
A0067885B3 171958 T0351A 200910,A0067885B3 171958 S0351A 200910,16.543,16.562,16.562,16.511,16.538,16.561,16.544,16.555,16.568,24.863,24.86,24.857,24.875,24.877,24.873,24.855,24.862,24.855,2,4.175
A0067885B3 171958 T0352A 200910,A0067885B3 171958 S0352A 200910,16.523,16.569,16.528,16.516,16.501,16.536,16.553,16.499,16.56,24.854,24.853,24.848,24.864,24.864,24.862,24.849,24.849,24.845,7,4.186
A0067885B3 171958 T0353A 200910,A0067885B3 171958 S0353A 200910,16.549,16.566,16.563,16.544,16.527,16.534,16.563,16.534,16.56,24.856,24.852,24.85,24.861,24.867,24.86,24.85,24.851,24.85,0,4.169
A0067885B3 171958 T0354A 200910,A0067885B3 171958 S0354A 200910,16.546,16.567,16.554,16.517,16.536,16.523,16.544,16.549,16.538,24.855,24.855,24.85,24.866,24.869,24.865,24.856,24.858,24.851,2,4.175
A0067885B3 171958 T0355A 200910,A0067885B3 171958 S0355A 200910,16.566,16.578,16.527,16.562,16.521,16.527,16.574,16.525,16.559,24.853,24.853,24.851,24.863,24.865,24.865,24.857,24.855,24.852,10,4.192
A0067885B3 171958 T0356A 200910,A0067885B3 171958 S0356A 200910,16.552,16.572,16.558,16.547,16.512,16.526,16.559,16.527,16.546,24.868,24.862,24.859,24.871,24.876,24.871,24.86,24.855,24.854,0,4.169
A0067885B3 171958 T0357A 200910,A0067885B3 171958 S0357A 200910,16.55,16.583,16.56,16.55,16.534,16.558,16.581,16.551,16.565,24.852,24.847,24.846,24.856,24.856,24.857,24.844,24.848,24.847,2,4.175
